rkoster,beyhan,mkocher
3,2,1
3,3,3
3,2,1
2,1,3
3,2,1
3,3,1
2,1,3
1,2,3
2,1,3
2,3,1
2,1,3
2,3,1
1,2,3
2,3,1
3,2,1
2,1,3
1,3,2
1,2,3
1,2,3
3,3,1
1,2,3
2,1,No opinion
3,1,3
1,2,3
1,2,2
No opinion,No opinion,1
No opinion,No opinion,1
2,2,1
3,2,1
2,2,3
2,3,1
1,2,3
2,3,1
1,2,3
2,1,3
2,1,3
2,3,1
3,2,1
2,3,1
3,2,1
2,1,3
2,No opinion,1
No opinion,2,1
3,3,1
2,1,3
1,2,3
1,1,3
1,2,3
1,3,1
No opinion,No opinion,3
3,1,3
No opinion,No opinion,3
1,2,3
3,2,1
3,2,1
3,3,3
1,2,3
No opinion,2,1
2,1,3
2,No opinion,1
3,3,1
3,2,1
2,1,3
2,1,3
3,2,1
2,1,3
3,1,2
2,3,1
No opinion,No opinion,1
3,2,1
2,1,3
3,3,No opinion
3,2,1
2,1,3
3,2,1
3,2,1
3,2,1
2,1,3
3,2,1
No opinion,1,No opinion
1,2,3
2,3,1
No opinion,1,No opinion
2,3,1
3,2,1
2,1,3
1,2,3
3,2,1
1,1,No opinion
No opinion,No opinion,1
1,No opinion,No opinion
1,2,3
1,2,3
2,3,1
1,2,3
2,No opinion,1
2,3,1
2,1,3
3,2,1
1,2,3
3,2,1
3,2,1
1,2,No opinion
3,2,1
